description;icao;iata;latitude_deg;longitude_deg
El Yopal Airport;SKYP;EYP;531.911;-72.384
Monteagudo Airport;SLAG;MHW;-1.982.699.966.430.660;-6.396.099.853.515.620
Apolo Airport;SLAP;APB;-14.735.600.471.496.500;-6.841.190.338.134.760
Ascención De Guarayos Airport;SLAS;ASC;-15.930.299.758.911.100;-63.156.700.134.277.300
Bermejo Airport;SLBJ;BJO;-227.733.001.709;-6.431.289.672.850.000
Camiri Airport;SLCA;CAM;-20.006.399.154.663.000;-63.527.801.513.671.800
Jorge Wilsterman International Airport;SLCB;CBB;-17.421.100.616.455.000;-661.771.011.352.539
Capitán Aníbal Arab Airport;SLCO;CIJ;-11.040.399.551.400.000;-687.829.971.313
Concepción Airport;SLCP;CEP;-161.382.999.420.166;-6.202.859.878.540.030
El Trompillo Airport;SLET;SRZ;-178.115.997.314;-631.715.011.597
Capitán de Av. Emilio Beltrán Airport;SLGY;GYA;-10.820.599.556;-653.455.963.135
Huacaraje Airport;SLHJ;BVK;-135.500.001.907;-63.747.898.101.800.000
Solomon Aerodrome;SLJ;SLJ;-222.554;1.177.627
San José De Chiquitos Airport;SLJE;SJS;-17.830.799.102.783.200;-60.743.099.212.646.400
San Joaquín Airport;SLJO;SJB;-130.528;-64.661.697
San Javier Airport;SLJV;SJV;-1.627.079.963.684.080;-62.470.298.767.089.800
El Alto International Airport;SLLP;LPB;-165.132.999.420.166;-6.819.229.888.916.010
Magdalena Airport;SLMG;MGD;-132.607.483.767;-640.607.643.127
Juan Mendoza Airport;SLOR;ORU;-17.962.600.708;-670.762.023.926
Capitan Nicolas Rojas Airport;SLPO;POI;-195.431.003.571;-6.572.370.147.710.000
Puerto Rico Airport;SLPR;PUR;-1.110.766.315.460.200;-6.755.115.509.033.200
Capitán Av. Salvador Ogaya G. airport;SLPS;PSZ;-189.752.998.352;-57.820.598.602.299.900
San Ramón Airport;SLRA;SRD;-132.639;-64.603.897
Roboré Airport;SLRB;RBO;-18.329.200.744.628.900;-5.976.499.938.964.840
Capitán Av. Selin Zeitun Lopez Airport;SLRI;RIB;-11;-66
Reyes Airport;SLRY;REY;-14.304.400.444.030.700;-6.735.340.118.408.200
Santa Ana Del Yacuma Airport;SLSA;SBL;-13.762.200.355.500.000;-654.352.035.522
Capitán Av. German Quiroga G. Airport;SLSB;SRJ;-14.859.199.523.925.700;-6.673.750.305.175.780
Capitán Av. Juan Cochamanidis S. Airport;SLSI;SNG;-1.638.360.023.498.530;-60.962.799.072.265.600
San Ignacio de Moxos Airport;SLSM;SNM;-149.658;-656.338
Santa Rosa De Yacuma Airport;SLSR;SRB;-14.066.200.256.347.600;-6.678.679.656.982.420
Juana Azurduy De Padilla Airport;SLSU;SRE;-19.007.099.151.611.300;-652.886.962.890.625
San Matías Airport;SLTI;MQK;-1.633.919.906.616.210;-5.840.190.124.511.710
Capitan Oriel Lea Plaza Airport;SLTJ;TJA;-215.557.003.021;-647.013.015.747
Teniente Av. Jorge Henrich Arauz Airport;SLTR;TDD;-148.186.998.367;-649.179.992.676
Uyuni Airport;SLUY;UYU;-20.446.300.506.599.900;-668.483.963.013
Capitán Av. Vidal Villagomez Toledo Airport;SLVG;VAH;-18.482.500.076.293.900;-6.409.940.338.134.760
Teniente Coronel Rafael Pabón Airport;SLVM;VLM;-21.255.199.432.399.900;-634.056.015.015
Viru Viru International Airport;SLVR;VVI;-17.644.800.186.157.200;-63.135.398.864.746.000
Yacuiba Airport;SLYA;BYC;-21.960.899.353.027.300;-6.365.169.906.616.210
Albina Airport;SMBN;ABN;5.512.720.108.032.220;-5.405.009.841.918.940
Totness Airport;SMCO;TOT;5.865.829.944.610.590;-5.632.749.938.964.840
Drietabbetje Airport;SMDA;DRJ;411.666.679.382;-54.666.671.752.899.900
Sapmanga Airport;SMH;SMH;-6.075.277.777.779.990;146.811.111.111
Johan Adolf Pengel International Airport;SMJP;PBM;54.528.298.377.999.900;-551.878.013.611
Moengo Airstrip;SMMO;MOJ;56.076;-544.003
Nieuw Nickerie Airport;SMNI;ICK;5.955.560.207.366.940;-57.039.398.193.359.300
Stockholm Airport;SMP;SMP;-4.358;151.533
Vincent Fayks Airport;SMPA;OEM;33.452.799.320.220.900;-55.442.501.068.115.200
Stoelmanseiland Airport;SMST;SMZ;4.349.999.904.632.560;-5.441.666.793.823.240
Wageningen Airstrip;SMWA;AGI;576.666.688.919;-566.333.312.988
Zorg en Hoop Airport;SMZO;ORG;5.811.079.978.942.870;-5.519.070.053.100.580
Alto Parnaíba Airport;SNAI;APY;-9.083.610.534.667.960;-45.950.557.708.740.200
Arapiraca Airport;SNAL;APQ;-9.775.360.107.421.870;-3.662.919.998.168.940
Cirilo Queiróz Airport;SNAR;AMJ;-1.618.389;-4.066.722
Marcelo Pires Halzhausen Airport;SNAX;AIF;-22.64;-50.453.056
Barra do Corda Airport;SNBC;BDC;-55.025;-45.215.833
Belmonte Airport;SNBL;BVM;-15.871.700.286.865.200;-3.887.189.865.112.300
Barreiras Airport;SNBR;BRA;-12.078.900.337.219.200;-4.500.899.887.084.960
Balsas Airport;SNBS;BSS;-752.603.006.362.915;-4.605.329.895.019.530
Sócrates Mariani Bittencourt Airport;SNBU;BMS;-14.255.399.703.979.400;-41.817.501.068.115.200
Barra Airport;SNBX;BQQ;-1.108.080.005.645.750;-43.147.499.084.472.600
Carutapera Airport;SNCP;CTP;-12.502.779.960.632.300;-460.172.233.581.543
Cururupu Airport;SNCU;CPU;-1.821.111;-44.866.944
Colatina Airport;SNCX;QCH;-1.948.699.951.171.870;-4.057.939.910.888.670
Redenção Airport;SNDC;RDC;-8.033.289.909.362.790;-4.997.990.036.010.740
Leopoldina Airport;SNDN;LEP;-21.466.100.692.749.000;-4.272.700.119.018.550
Diamantina Airport;SNDT;DTI;-18.232.000.351;-43.650.398.254.399.900
Brigadeiro Cabral Airport;SNDV;DIQ;-20.180.700.302.124;-44.870.899.200.439
Sócrates Rezende Airport;SNED;CNV;-15.666.999.816.895;-38.954.700.469.971
São Félix do Xingu Airport;SNFX;SXX;-66.413;-519.523
Guarapari Airport;SNGA;GUZ;-20.646.499.633.800.000;-40.491.901.397.700.000
Guadalupe Airport;SNGD;GDP;-6.782.219.886.779.780;-4.358.219.909.667.960
Guanambi Airport;SNGI;GNM;-14.208.200.454.711.900;-4.274.610.137.939.450
Garanhuns Airport;SNGN;QGP;-8.834.280.014.038.080;-3.647.159.957.885.740
Itabuna Airport;SNHA;ITN;-14.810.500.145;-392.904.014.587
Irecê Airport;SNIC;IRE;-11.339.900.016.784.600;-4.184.700.012.207.030
Iguatu Airport;SNIG;QIG;-6.346.640.110.015.860;-39.293.800.354.003.900
Itapetinga Airport;SNIP;QIT;-15.244.500.160.217.200;-40.277.198.791.503.900
Ipiaú Airport;SNIU;IPU;-14.133.889.198.303.200;-39.733.890.533.447.200
Jacobina Airport;SNJB;JCM;-11.163.200.378.417.900;-405.531.005.859.375
João Durval Carneiro Airport;SNJD;FEC;-122.003.002.167;-389.067.993.164
Jequié Airport;SNJK;JEQ;-13.877.699.851.989.700;-4.007.160.186.767.570
Januária Airport;SNJN;JNA;-15.473.799.705.505.300;-44.385.501.861.572.200
Prefeito Octávio de Almeida Neves Airport;SNJR;JDR;-210.849.990.845;-442.247.238.159
Santana do Araguaia Airport;SNKE;CMP;-931.997.013.092.041;-5.032.849.884.033.200
Conselheiro Lafaiete Airport;SNKF;QDF;-2.073.859.977.722.160;-43.797.401.428.222.600
Cachoeiro do Itapemirim Airport;SNKI;CDI;-20.834.299.087.499.900;-411.856.002.808
Currais Novos Airport;SNKN;QCP;-6.280.832.767.486.570;-36.540.279.388.427.700
São Lourenço Airport;SNLO;SSO;-22.090.900.421.142.500;-45.044.498.443.603.500
Monte Alegre Airport;SNMA;MTE;-19.958.000.183.105.400;-5.407.419.967.651.360
Mucuri Airport;SNMU;MVS;-18.048.900.604.248.000;-39.864.200.592.041.000
São Mateus Airport;SNMX;SBJ;-1.872.130.012.512.200;-3.983.369.827.270.500
Porto de Moz Airport;SNMZ;PTQ;-17.414.499.521.255.400;-5.223.609.924.316.400
Nanuque Airport;SNNU;NNU;-17.823.299.407.958.900;-40.329.898.834.228.500
Municipal José Figueiredo Airport;SNOS;PSW;-20.732.200.622.558.500;-46.661.800.384.521.400
Feijó Airport;SNOU;FEJ;-8.140.832.901.001;-70.347.221.374.512
Oriximiná Airport;SNOX;ORX;-17.140.799.760.818.400;-5.583.620.071.411.130
Picos Airport;SNPC;PCS;-70.620.598.793.029.700;-4.152.370.071.411.130
Patos de Minas Airport;SNPD;POJ;-18.672.800.064.086.900;-464.911.994.934.082
Pirapora Airport;SNPX;PIV;-173.169.002.532.959;-4.486.029.815.673.820
San Quintín Military Airstrip;SNQ;SNQ;305.288;-1.159.462
Cangapara Airport;SNQG;FLB;-68.463.897.705.078.100;-43.077.301.025.390.600
Fazenda Santo André Airport;SNRA;PIV;-19.726.110.458.374.000;-46.352.779.388.427.700
Prado Airport;SNRD;PDF;-1.729.669.952.392.570;-3.927.119.827.270.500
Caruaru Airport;SNRU;CAU;-8.282.389.640.808.100;-3.601.350.021.362.300
Soure Airport;SNSW;SFK;-0.6994310021400452;-48.520.999.908.447.200
9 de Maio - Teixeira de Freitas Airport;SNTF;TXF;-17.524.499.893.188;-3.966.849.899.292
Óbidos Airport;SNTI;OBI;-1.867.169.976.234.430;-55.514.400.482.177.700
Juscelino Kubitscheck Airport;SNTO;TFL;-1.789.229.965.209.960;-4.151.359.939.575.190
Valença Airport;SNVB;VAL;-13.296.500.205.993.600;-38.992.401.123.046.800
Mélio Viana Airport;SNVI;QID;-21.790.599.822.998.000;-4.526.919.937.133.780
Breves Airport;SNVS;BVS;-16.365.300.416.946.400;-50.443.599.700.927.700
Camocim Airport;SNWC;CMC;-28.961.799.144.744.800;-40.858.001.708.984.300
Pinheiro Airport;SNYE;PHI;-24.836.111.068.725.500;-45.067.222.595.214.800
Agropecuária Castanhais Airport;SNYH;ITI;-8.699.999.809.265.130;-5.117.416.763.305.660
Antônio Guerreiro Airport;SNYW;GMS;-2.109.444;-44.651.114
Pouso Alegre Airport;SNZA;PPY;-22.289.199.829.101.500;-4.591.910.171.508.780
Ituberá Airport;SNZW;ITE;-137.322.216.034;-391.416.664.124
Borama Airport;SO-BXX;BXX;99.463;431.495
Gatokae Airport;SO-GTA;GTA;-8.739.167;158.203.056
Sóc Tr?ng Airport;SOA;SOA;95.814;1.059.602
Cayenne-Rochambeau Airport;SOCA;CAY;4.819.809.913.639.990;-52.360.401.153.599.900
Grand-Santi Airport;SOGS;GSI;4.285.833;-54.373.056
South Molle Island Helipad;SOI;SOI;-202.622;1.488.399
Maripasoula Airport;SOOA;MPY;36.575;-54.037.201
Saint-Georges-de-l'Oyapock Airport;SOOG;OYP;389.759.993.553;-518.041.000.366
Saint-Laurent-du-Maroni Airport;SOOM;LDX;548.306;-54.034.401
Regina Airport;SOOR;REI;431.472.015.381;-521.316.986.084
Saúl Airport;SOOS;XAU;361.361;-53.204.201
Al Thaurah Airport;SOR;SOR;343.905;401.524
San Juan Aposento Airport;SPAO;APE;-15.353.899.955.749.500;-7.516.709.899.902.340
Alerta Airport;SPAR;ALD;-11.682.999.610.900.800;-6.933.300.018.310.540
Alferez FAP Alfredo Vladimir Sara Bauer Airport;SPAS;AOP;-279.612.994.194;-7.646.659.851.070.000
Moyobamba Airport;SPBB;MBP;-60.188.889.503.479;-7.698.832.702.636.710
Huallaga Airport;SPBL;BLP;-706.056.022.644.043;-7.658.219.909.667.960
Iberia Airport;SPBR;IBP;-11.411.600.112.915.000;-6.948.870.086.669.920
Cap FAP David Abenzur Rengifo International Airport;SPCL;PCL;-837.794.017.791.748;-7.457.430.267.333.980
Trompeteros Airport;SPDR;TDP;-380.601.000.786;-7.503.929.901.119.990
Teniente FAP Jaime A De Montreuil Morales Airport;SPEO;CHM;-9.149.609.565.734.860;-785.238.037.109.375
Tingo Maria Airport;SPGM;TGI;-9.133.000.373.840.330;-7.594.999.694.824.210
Capitan FAP Jose A Quinones Gonzales International Airport;SPHI;CIX;-6.787.479.877.471.920;-798.281.021.118.164
Coronel FAP Alfredo Mendivil Duarte Airport;SPHO;AYP;-13.154.800.415.039.000;-7.420.439.910.888.670
Andahuaylas Airport;SPHY;ANS;-13.706.399.917.602.500;-7.335.040.283.203.120
Comandante FAP German Arias Graziani Airport;SPHZ;ATA;-9.347.439.765.930.170;-7.759.839.630.126.950
Quince Air Base;SPIL;UMI;-1.323.330.020.904.540;-7.075.330.352.783.200
Jorge Chávez International Airport;SPIM;LIM;-120.219;-77.114.304
Satipo Airport;SPIP;SFK;-11.282.999.992.370.600;-7.463.300.323.486.320
Uchiza Airport;SPIZ;UCZ;-8.467.000.007.629.390;-763.499.984.741.211
Juan Simons Vela Airport;SPJA;RIJ;-6.067.860.126.495.360;-7.716.000.366.210.930
Shumba Airport;SPJE;JAE;-559.248;-78.774.002
Juanjui Airport;SPJI;JJI;-7.169.099.807.739.250;-7.672.859.954.833.980
Francisco Carle Airport;SPJJ;JAU;-117.831.001.282;-7.547.339.630.130.000
Inca Manco Capac International Airport;SPJL;JUL;-15.467.100.143.432.600;-70.158.203.125
San Juan de Marcona Airport;SPJN;SJA;-15.352.499.961.853.000;-7.513.719.940.185.540
Mayor General FAP Armando Revoredo Iglesias Airport;SPJR;CJA;-71.391.801.834.106.400;-784.894.027.709.961
San Nicolas Airport;SPLN;RIM;-639.231.014.251.709;-775.011.978.149.414
Ilo Airport;SPLO;ILQ;-1.769.499.969.482.420;-7.134.400.177.001.950
Capitan FAP Pedro Canga Rodriguez Airport;SPME;TBP;-355.253.005.027.771;-8.038.140.106.201.170
Santa Maria Airport;SPMR;SMG;-11.983.333.587.646.400;-77
Moises Benzaquen Rengifo Airport;SPMS;YMS;-5.893.770.217.895.500;-7.611.820.220.947.260
Alferez Fap David Figueroa Fernandini Airport;SPNC;HUU;-9.878.809.928.894.040;-7.620.480.346.679.680
Saposoa Airport;SPOA;SQU;-69.600.300.788.879.300;-7.676.840.209.960.930
Shiringayoc/Hacienda Hda Mejia Airport;SPOV;SYC;-11.899.999.618.530.200;-6.916.699.981.689.450
Chachapoyas Airport;SPPY;CHH;-6.201.809.883.117.670;-778.561.019.897.461
Requena Airport;SPQN;REQ;-5.066.999.912.261.960;-7.386.699.676.513.670
Coronel FAP Francisco Secada Vignetta International Airport;SPQT;IQT;-37.847.399.711.608.800;-7.330.879.974.365.230
Rodríguez Ballón International Airport;SPQU;AQP;-163.411.006.927;-715.830.993.652
Capitan FAP Carlos Martinez De Pinillos International Airport;SPRU;TRU;-808.141.040.802.002;-7.910.880.279.541.010
Capitán FAP Renán Elías Olivera International Airport;SPSO;PIO;-1.374.489.974.975.580;-7.622.029.876.708.980
Cadete FAP Guillermo Del Castillo Paredes Airport;SPST;TPP;-6.508.739.948.272.700;-7.637.319.946.289.060
Shiringayoc Airport;SPSY;SYC;-11.883.299.827.575.600;-6.919.999.694.824.210
Coronel FAP Carlos Ciriani Santa Rosa International Airport;SPTN;TCQ;-18.053.300.857.500.000;-702.758.026.123
Padre Aldamiz International Airport;SPTU;PEM;-126.135.997.772;-692.285.995.483
Capitán FAP Guillermo Concha Iberico International Airport;SPUR;PIU;-520.574.998.856;-8.061.640.167.239.990
Capitan Montes Airport;SPYL;TYL;-45.766.401.290.894;-81.254.096.984.863
Maria Reiche Neuman Airport;SPZA;NZC;-14.854.000.091.600.000;-749.615.020.752
Alejandro Velasco Astete International Airport;SPZO;CUZ;-13.535.699.844.400.000;-719.387.969.971
Sanqingshan Airport;SQD;SQD;283.797;1.179.643
Shaxian Airport;SQJ;SQJ;264.263;1.178.336
China Strait Airstrip;SQT;SQT;-105.627.777.778;150.690.694.444
Cayana Airstrip;SR-AAJ;AAJ;3.898.681;-55.577.907
Tepoe Airstrip;SR-KCB;KCB;315.000.009.537;-55.716.999.054
Hamilton Field;SRF;SRF;38.06;-122.51
Palo Verde Airport;SRL;SRL;270.927;-1.120.985
Sandringham Airport;SRM;SRM;-240.568;1.390.821
Santa Cruz Sky Park;SRU;SRU;370.503;-1.220.315
Stony River 2 Airport;SRV;SRV;617.896.995.544;-156.589.004.517
Carlos Ruhl Airport;SSAK;CZB;-28.657.777.786.255;-53.610.557.556.152
Apucarana Airport;SSAP;APU;-23.609.501;-51.384.499
Aeroclube de Bento Gonçalves Airport;SSBG;BGV;-291.483.325.958;-515.363.883.972
Blumenau Airport;SSBL;BNU;-2.683.060.073.852.530;-49.090.301.513.671.800
Concórdia Airport;SSCK;CCI;-27.180.599.212.646.400;-5.205.270.004.272.460
Cassilândia Airport;SSCL;CSS;-19.146.389.007.599.900;-51.685.279.846.200.000
Canela Airport;SSCN;QCN;-2.937.019.920.349.120;-50.832.000.732.421.800
Cornélio Procópio Airport;SSCP;CKO;-2.315.250.015.258.780;-50.602.500.915.527.300
Dourados Airport;SSDO;DOU;-222.019;-54.926.601
Erechim Airport;SSER;ERM;-2.766.189.956.665.030;-522.682.991.027.832
Francisco Beltrão Airport;SSFB;FBE;-26.059.200.286.865.200;-53.063.499.450.683.500
Guaíra Airport;SSGY;QGA;-24.081.100.463.867.100;-5.419.169.998.168.940
Walter Bündchen Airport;SSHZ;HRZ;-27.638.299.942;-54.339.099.884
Ijuí Airport;SSIJ;IJU;-2.836.870.002.746.580;-5.384.659.957.885.740
Itaqui Airport;SSIQ;ITQ;-29.173.099.517.822.200;-5.653.670.120.239.250
Santa Terezinha Airport;SSJA;JCB;-271.714.000.702;-515.532.989.502
Campo Mourão Airport;SSKM;CBW;-24.009.199.142.499.900;-523.568.000.793
Cachoeira do Sul Airport;SSKS;QDB;-3.000.189.971.923.820;-52.940.799.713.134.700
Curitibanos Airport;SSKU;QCR;-27.282.499.313.354.400;-5.061.140.060.424.800
Cacoal Airport;SSKW;OAL;-11.496;-614.508
Helmuth Baungarten Airport;SSLN;LOI;-27.159.999.847.399.900;-495.424.995.422
Alegrete Novo Airport;SSLT;ALQ;-29.812.700.271.599.900;-558.933.982.849
Mafra Airport;SSMF;QMF;-26.158.899.307.250.900;-4.983.219.909.667.960
Montenegro Airport;SSNG;QGF;-2.971.940.040.588.370;-5.148.939.895.629.880
Novo Hamburgo Airport;SSNH;QHV;-2.969.610.023.498.530;-5.108.169.937.133.780
São Miguel do Oeste Airport;SSOE;SQX;-26.781.600.952.148.400;-53.503.501.892.089.800
Arapongas Airport;SSOG;APX;-233.529;-51.491.699
Pato Branco Airport;SSPB;PTO;-2.621.780.014.038.080;-5.269.430.160.522.460
Paranaguá Airport;SSPG;PNG;-2.554.010.009.765.620;-4.853.120.040.893.550
Paranavaí Airport;SSPI;PVI;-2.308.989.906.311.030;-5.248.849.868.774.410
Paranaíba Airport;SSPN;PBB;-19.651.199.340.820.300;-5.119.940.185.546.870
Castro Airport;SSQT;QAC;-248.075.008.392.334;-4.996.030.044.555.660
São Lourenço do Sul Airport;SSRU;SQY;-3.138.330.078.125;-52.032.798.767.089.800
Siassi Airport;SSS;SSS;-55.965;1.478.106
São Borja Airport;SSSB;QOJ;-2.865.489.959.716.790;-5.603.459.930.419.920
Santa Cruz do Sul Airport;SSSC;CSU;-29.684.099.197.387.600;-52.412.200.927.734.300
Plínio Alarcom Airport;SSTL;TJL;-20.754.199.981.689;-51.684.200.286.865
Greenbrier Airport;SSU;SSU;37.775;-80.336
Umuarama Airport;SSUM;UMU;-237.987.003.326.416;-5.331.380.081.176.750
Unifly Heliport;SSUO;ZFU;-234.086.112.976;-46.330.554.962.200.000
Siasi Airport;SSV;SSV;5.558;120.833
Videira Airport;SSVI;VIA;-2.699.970.054.626.460;-5.114.189.910.888.670
Santa Vitória do Palmar Airport;SSVP;CTQ;-3.350.222.396.850.580;-5.334.416.580.200.190
Volta Redonda Airport;SSVR;QVR;-224.978;-44.085
Xanxerê Airport;SSXX;AXE;-26.875.556.945.800.000;-52.373.054.504.399.900
Arapoti Airport;SSYA;AAG;-241.039.009.094;-49.789.100.647
Santa Rosa Airport;SSZR;SRA;-27.906.700.134.277.300;-5.452.040.100.097.650
Ponta Grossa Airport - Comandante Antonio Amilton Beraldo;SSZW;PGZ;-25.184.700.012.207;-50.144.100.189.209
Artigas International Airport;SUAG;ATI;-30.400.699.615.478.500;-5.650.790.023.803.710
Bella Union Airport;SUBU;BUV;-303.333.339.691;-570.833.320.618
Laguna de Los Patos International Airport;SUCA;CYR;-34.456.401.824.951;-57.770.599.365.234
Santa Bernardina International Airport;SUDU;DZO;-333.588.981.628.418;-5.649.919.891.357.420
Capitan Corbeta CA Curbelo International Airport;SULS;PDP;-34.855.098.724.365.200;-5.509.429.931.640.620
Cerro Largo International Airport;SUMO;MLZ;-3.233.789.825.439.450;-5.421.670.150.756.830
Carrasco International /General C L Berisso Airport;SUMU;MVD;-34.838.401.794.433.500;-56.030.799.865.722.600
Tydeo Larre Borges Airport;SUPU;PDU;-3.236.330.032.348.630;-580.619.010.925.293
Presidente General Don Oscar D. Gestido International Airport;SURV;RVY;-30.974.599.838.256.800;-55.476.200.103.759.700
Nueva Hesperides International Airport;SUSO;STY;-31.438.499.450.683.500;-5.798.529.815.673.820
Tacuarembo Airport;SUTB;TAW;-31.749.000.549.316.400;-5.592.580.032.348.630
Treinta y Tres Airport;SUTR;TYT;-3.320.000.076.293.940;-54.349.998.474.121.000
Vichadero Airport;SUVO;VCH;-31.767.000.198.364.200;-54.617.000.579.833.900
Suria Airport;SUZ;SUZ;-9.032;147.45
Oswaldo Guevara Mujica Airport;SVAC;AGV;9.553.375.244.140.620;-6.923.786.926.269.530
Anaco Airport;SVAN;AAO;9.430.225.372.314.450;-644.707.260.131.836
Armando Schwarck Airport;SVAS;LPJ;6.578.050.136.566.160;-6.681.690.216.064.450
General Jose Antonio Anzoategui International Airport;SVBC;BLA;10.107.099.533.081.000;-6.468.920.135.498.040
Barinas Airport;SVBI;BNS;8.619.569.778.442.380;-702.208.023.071.289
Barquisimeto International Airport;SVBM;BRM;10.042.746.543.884.200;-693.586.196.899.414
Escuela Mariscal Sucre Airport;SVBS;MYC;10.249.978.065.490.700;-6.764.942.169.189.450
"Aeropuerto ""General Tomas de Heres"". Ciudad Bolivar";SVCB;CBL;812.216.091.156;-635.369.567.871
Caicara del Orinoco Airport;SVCD;CXA;7.625.510.215.759.270;-6.616.280.364.990.230
Zaraza Airport;SVCE;ZRZ;9.350.306;-65.280.655
Casigua El Cubo Airport;SVCG;CUV;8.758.139.610.290.520;-7.253.630.065.917.960
Calabozo Airport;SVCL;CLZ;892.465.591.430.664;-674.170.913.696.289
Canaima Airport;SVCN;CAJ;6.231.988.906.860.350;-6.285.443.115.234.370
Carora Airport;SVCO;VCR;10.175.602.912.902.800;-7.006.521.606.445.310
General Francisco Bermúdez Airport;SVCP;CUP;10.660.014.152.526.800;-63.261.680.603.027.300
José Leonardo Chirinos Airport;SVCR;CZE;1.141.494.369.506.830;-6.968.090.057.373.040
Cumaná (Antonio José de Sucre) Airport;SVCU;CUM;10.450.332.641.601.500;-641.304.702.758.789
La Tortuga Punta Delgada Airport;SVDA;isl;10.936.667.442.321.700;-6.522.333.526.611.320
Puerto Paez Airport;SVDZ;PPZ;62.333.331.108.093;-67.433.609.008.789
El Dorado Airport;SVED;EOR;6.733.333.110.809.320;-6.158.333.206.176.750
Elorza Airport;SVEZ;EOZ;70.833.330.154.418.900;-6.953.333.282.470.700
Guasdalito Airport;SVGD;GDO;7.233.333.110.809.320;-7.080.000.305.175.780
Guiria Airport;SVGI;GUI;10.574.077.606.200.000;-623.126.678.467
Guanare Airport;SVGU;GUQ;9.026.944.160.461.420;-697.551.498.413.086
Higuerote Airport;SVHG;HGE;10.462.474;-66.092.779
Icabarú Airport;SVIC;ICA;4.336.319.923.400.870;-61.739.601.135.253.900
Andrés Miguel Salazar Marcano Airport;SVIE;ICC;10.794.432;-6.398.159
Josefa Camejo International Airport;SVJC;LSP;1.178.077.507.019.040;-7.015.149.688.720.700
Kavanayen Airport;SVKA;KAV;5.632.999.897.003.170;-6.178.300.094.604.490
La Fria Airport;SVLF;LFR;8.239.167.213.439.940;-7.227.102.661.132.810
La Chinita International Airport;SVMC;MAR;105.582.084.656;-717.278.594.971
Alberto Carnevalli Airport;SVMD;MRD;8.582.077.980.041.500;-7.116.104.125.976.560
Del Caribe Santiago Mariño International Airport;SVMG;PMV;10.912.603.378.295.800;-6.396.659.851.074.210
Simón Bolívar International Airport;SVMI;CCS;106.031.169.891;-669.905.853.271
Maturín Airport;SVMT;MUN;975.452.995.300.293;-6.314.739.990.234.370
Oro Negro Airport;SVON;CBS;10.330.699.920.654.200;-7.132.250.213.623.040
Cacique Aramare Airport;SVPA;PYH;56.199.898.719.788;-67.606.101.989.746
General Bartolome Salom International Airport;SVPC;PBL;10.480.500.221.252.400;-68.072.998.046.875
Pedernales Airport;SVPE;PDZ;9.979.240.417.480.460;-62.228.599.548.339.800
